UID;Artist Name;Track Title;Album Title;Date;Genre;Style;Length;Release;Publisher;Album Artist;Rating;Mood;Track Number;Total Tracks;Disc Number;Total Discs;URL;Play count;First played;Last played;Play stamp;Track URL
bgtf193822oo102;Eddie Durham, Buster Smith;One O'Clock Jump;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;412;?;?;Benny Goodman;2;2;02;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:02:54;2009-12-29 17:09:42;2009-12-29 15:02:54, 2009-12-29 17:09:42;?
bgtf193801do103;Benny Goodman;Dixieland one step;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;80;?;?;Benny Goodman;2;2;03;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 15:08:39;2010-06-20 20:19:01;2009-12-29 15:08:39, 2009-12-29 17:15:27, 2010-06-20 20:19:01;?
bgtf193802ic104;Will Marion Cook, Donald Heywood;I'm Coming Virginia;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;127;?;?;Benny Goodman;2;1;04;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:10:09;2009-12-29 17:16:56;2009-12-29 15:10:09, 2009-12-29 17:16:56;?
bgtf193802wm105;Bill Munro, Andres Sterling, Ted Lewis, Harry von Tilzer;When My Baby Smiles at Me;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;51;?;?;Benny Goodman;3;2;05;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:12:01;2009-12-29 17:18:49;2009-12-29 15:12:01, 2009-12-29 17:18:49;?
bgtf193863s106;Cecil Mack, Ford Dabney, Lew Brown;Shine;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;63;?;?;Benny Goodman;3;3;06;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;5;2009-12-29 15:12:54;2010-06-20 20:19:49;2009-12-29 15:12:54, 2009-12-29 17:19:41, 2010-01-24 19:39:55, 2010-02-06 12:11:47, 2010-06-20 20:19:49;?
bgtf193824br107;Duke Ellington, Harry Carney;Blue Reverie;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;202;?;?;Benny Goodman;2;2;07;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;4;2009-12-29 15:14:24;2010-02-14 16:03:16;2009-12-29 15:14:24, 2009-12-29 17:21:12, 2010-02-14 12:18:01, 2010-02-14 16:03:16;?
bgtf193886lg108;Harry James, Benny Goodman;Life Goes to A Party;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;253;?;?;Benny Goodman;3;2;08;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 15:17:56;2010-02-03 16:59:15;2009-12-29 15:17:56, 2009-12-29 17:24:43, 2010-02-03 16:59:15;?
bgtf193835hr201;Thomas Waller, Andy Razaf;Honeysuckle Rose;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;837;?;?;Benny Goodman;2;2;01;04;2;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;1;2009-12-29 15:24:06;2009-12-29 15:24:06;2009-12-29 15:24:06;?
bgtf193840ba202;Johnny Green, Edward Heyman, Robert Sour, Frank Eyton;Body and Soul;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;203;?;?;Benny Goodman;3;2;02;04;2;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 15:35:56;2010-02-14 12:21:24;2009-12-29 15:35:56, 2010-02-01 21:04:57, 2010-02-14 12:21:24;?
bgtf193860a203;Vincent Rose, B.G. deSylva, Al Jolson;Avalon;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;256;?;?;Benny Goodman;3;2;03;04;2;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 15:39:30;2010-02-14 12:25:06;2009-12-29 15:39:30, 2010-02-07 11:50:20, 2010-02-14 12:25:06;?
bgtf193800tm204;George Gershwin, Ira Gershwin;The Man I Love;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;208;?;?;Benny Goodman;3;2;04;04;2;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;4;2009-12-29 15:43:35;2010-02-14 12:29:03;2009-12-29 15:43:35, 2010-01-24 18:20:10, 2010-02-07 11:51:43, 2010-02-14 12:29:03;?
bgtf193887ig301;George Gershwin, Ira Gershwin;I Got Rhythm;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;309;?;?;Benny Goodman;3;3;01;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;4;2009-12-26 03:36:23;2010-02-14 12:33:08;2009-12-26 03:36:23, 2009-12-29 15:47:23, 2010-02-07 11:59:07, 2010-02-14 12:33:08;?
bgtf193801bs302;Irving Berlin;Blue Skies;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;197;?;?;Benny Goodman;3;2;02;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:52:10;2010-01-31 15:20:49;2009-12-29 15:52:10, 2010-01-31 15:20:49;?
bgtf193854ll303;Benny Goodman;Loch Lomond;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;178;?;?;Benny Goodman;2;2;03;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:55:23;2010-02-09 23:22:32;2009-12-29 15:55:23, 2010-02-09 23:22:32;?
bgtf193875br304;Richard Rodgers, Lorenz Hart;Blue Room;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;312;?;?;Benny Goodman;3;2;04;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;2;2009-12-29 15:58:48;2010-07-25 23:51:07;2009-12-29 15:58:48, 2010-07-25 23:51:07;?
bgtf193809si305;Jimmy Mundy, Benny Goodman;Swingtime in the Rockies;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;207;?;?;Benny Goodman;2;2;05;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 16:03:38;2010-02-06 09:49:25;2009-12-29 16:03:38, 2010-02-06 02:22:41, 2010-02-06 09:49:25;?
bgtf193849bm306;Scholom Secunda, Jacob Jacobs, Sammy Cahn, Saul Chaplin;Bei Mir Bist du Schoen;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;32;?;?;Benny Goodman;2;2;06;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-26 10:10:50;2010-02-06 12:18:20;2009-12-26 10:10:50, 2009-12-29 16:06:30, 2010-02-06 12:18:20;?
bgtf193823cb307;Dick Winfree, Phil Boutelje;China Boy;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;292;?;?;Benny Goodman;3;3;07;07;3;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;4;2009-12-26 10:12:15;2010-02-06 10:56:43;2009-12-26 10:12:15, 2009-12-29 16:07:54, 2010-02-04 17:19:10, 2010-02-06 10:56:43;?
bgtf193842sa401;Edgar Sampson, Benny Goodman, Chick Webb;Stompin' at the Savoy;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;355;?;?;Benny Goodman;2;2;01;04;4;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-26 10:14:39;2010-02-14 12:38:33;2009-12-26 10:14:39, 2009-12-29 16:12:59, 2010-02-14 12:38:33;?
bgtf193842ds402;Benny Goodman, Lionel Hampton, Teddy Wilson;Dizzy Spells;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;343;?;?;Benny Goodman;3;3;02;04;4;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;4;2009-12-26 10:20:32;2010-02-14 12:49:12;2009-12-26 10:20:32, 2009-12-29 16:18:52, 2010-02-07 15:12:37, 2010-02-14 12:49:12;?
bgtf193881ss403;Benny Goodman;Sing Sing Sing - with A Swing;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;658;?;?;Benny Goodman;4;2;03;04;4;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;5;2009-12-26 10:27:18;2010-09-06 23:42:01;2009-12-26 10:27:18, 2010-01-17 23:20:41, 2010-03-07 23:36:34, 2010-05-02 17:21:27, 2010-09-06 23:42:01;?
bgtf193894bj404;Horace Henderson;Big John's Special;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;225;?;?;Benny Goodman;3;2;04;04;4;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-26 10:36:48;2010-02-14 18:01:41;2009-12-26 10:36:48, 2010-02-01 21:36:23, 2010-02-14 18:01:41;?
c2rt0642r101;Calexico;Roka;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;338;?;Live Music Archive;Calexico;3;2;01;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-17 23:54:12;2013-01-17 23:54:12;2013-01-17 23:54:12;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t01.mp3
c2rt0616at102;Calexico;Across The Wire;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;207;?;Live Music Archive;Calexico;4;2;02;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;3;2013-01-18 00:29:36;2013-02-10 20:43:45;2013-01-18 00:29:36, 2013-01-19 10:19:26, 2013-02-10 20:43:45;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t02.mp3
c2rt0617ja103;Calexico;Jesus and Tequila;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;291;?;Live Music Archive;Calexico;2;2;03;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 10:21:02;2013-01-19 10:21:02;2013-01-19 10:21:02;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t03.mp3
c2rt0615ld104;Calexico;Lucky Dime (intro);2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;40;?;Live Music Archive;Calexico;2;2;04;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 10:22:52;2013-01-19 10:22:52;2013-01-19 10:22:52;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t04.mp3
c2rt0628dd105;Calexico;Deep Down;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;317;?;Live Music Archive;Calexico;3;2;05;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;2;2013-01-19 10:23:22;2013-02-10 21:50:42;2013-01-19 10:23:22, 2013-02-10 21:50:42;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t05.mp3
c2rt0613md106;Calexico;Minas de Cobre;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;282;?;Live Music Archive;Calexico;3;2;06;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;2;2013-01-19 10:28:39;2013-02-10 23:40:30;2013-01-19 10:28:39, 2013-02-10 23:40:30;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t06.mp3
c2rt0652sw107;Calexico;Sunken Waltz;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;151;?;Live Music Archive;Calexico;4;2;07;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 10:33:22;2013-01-19 10:33:22;2013-01-19 10:33:22;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t07.mp3
c2rt0656as108;Calexico;All Systems Red;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;392;?;Live Music Archive;Calexico;3;2;08;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-02-10 23:44:45;2013-02-10 23:44:45;2013-02-10 23:44:45;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t08.mp3
c2rt0659bb109;Calexico;Bisbee Blue;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;184;?;Live Music Archive;Calexico;2;2;09;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-02-12 21:54:58;2013-02-12 21:54:58;2013-02-12 21:54:58;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t09.mp3
c2rt0625c110;Calexico;Cruel;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;302;?;Live Music Archive;Calexico;3;2;10;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 10:35:53;2013-01-19 10:35:53;2013-01-19 10:35:53;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t10.mp3
c2rt0646ot111;Calexico;Ojitos Traidores;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;156;?;Live Music Archive;Calexico;3;2;11;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 10:40:55;2013-01-19 10:40:55;2013-01-19 10:40:55;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t11.mp3
c2rt0625s112;Calexico;Stray;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;368;?;Live Music Archive;Calexico;4;2;12;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;2;2013-01-19 10:43:31;2013-02-11 00:06:26;2013-01-19 10:43:31, 2013-02-11 00:06:26;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t12.mp3
c2rt0659ne113;Calexico;Not Even Stevie Nicks;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;280;?;Live Music Archive;Calexico;3;2;13;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;2;2013-01-19 10:49:40;2013-02-11 00:12:34;2013-01-19 10:49:40, 2013-02-11 00:12:34;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t13.mp3
c2rt0621s114;Calexico;Senor;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;286;?;Live Music Archive;Calexico;2;1;14;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;3;2013-01-19 10:54:20;2013-02-11 00:54:00;2013-01-19 10:54:20, 2013-02-11 00:17:14, 2013-02-11 00:54:00;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t14.mp3
c2rt0613i115;Calexico;Inspiracion;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;232;?;Live Music Archive;Calexico;2;2;15;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;3;2013-01-19 10:59:06;2013-02-11 00:22:01;2013-01-19 10:59:06, 2013-02-04 22:43:02, 2013-02-11 00:22:01;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t15.mp3
c2rt0660aa116;Calexico;Alone Again Or;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;219;?;Live Music Archive;Calexico;4;2;16;16;1;2;http://archive.org/details/calexico2006-12-02..flac16;3;2013-01-19 11:02:58;2013-02-11 00:58:08;2013-01-19 11:02:58, 2013-02-11 00:25:52, 2013-02-11 00:58:08;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d1t16.mp3
c2rt0658lt201;Calexico;Letter To Bowie Knife;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;253;?;Live Music Archive;Calexico;4;3;01;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;4;2013-01-19 11:06:37;2013-02-11 00:29:31;2013-01-19 11:06:37, 2013-02-04 21:34:04, 2013-02-11 00:05:44, 2013-02-11 00:29:31;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t01.mp3
c2rt0604cf202;Calexico;Crystal Frontier;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;562;?;Live Music Archive;Calexico;3;2;02;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 11:10:50;2013-01-19 11:10:50;2013-01-19 11:10:50;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t02.mp3
c2rt0648s203;Calexico;Scout;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;143;?;Live Music Archive;Calexico;2;2;03;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 12:30:13;2013-01-19 12:30:13;2013-01-19 12:30:13;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t03.mp3
c2rt0650bi204;Calexico;Band Introductions;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;119;?;Live Music Archive;Calexico;1;2;04;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 12:32:36;2013-01-19 12:32:36;2013-01-19 12:32:36;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t04.mp3
c2rt0685ad205;Calexico;Avismo de Amor;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;450;?;Live Music Archive;Calexico;3;2;05;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 12:33:15;2013-01-19 12:33:15;2013-01-19 12:33:15;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t05.mp3
c2rt0619gc206;Calexico;Guero Canelo;2006-12-02 - Rialto Theatre;2006;World;Folk, Post Rock, Live;552;?;Live Music Archive;Calexico;3;2;06;06;2;2;http://archive.org/details/calexico2006-12-02..flac16;1;2013-01-19 12:54:37;2013-01-19 12:54:37;2013-01-19 12:54:37;http://archive.org/download/calexico2006-12-02..flac16/calexico2006-12-02d2t06.mp3
clin201042r01;Calexico;Roka;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;324;?;Free Music Archive;Calexico;3;2;01;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;1;2012-12-08 12:59:47;2012-12-08 12:59:47;2012-12-08 12:59:47;?
clin201053bt02;Calexico;Bend To The Road;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;323;?;Free Music Archive;Calexico;2;2;02;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;3;2012-12-08 13:05:07;2013-01-19 13:45:26;2012-12-08 13:05:07, 2013-01-19 13:03:49, 2013-01-19 13:45:26;?
clin201013i03;Calexico;Inspiracion;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;222;?;Free Music Archive;Calexico;3;2;03;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;1;2012-12-08 13:10:30;2012-12-08 13:10:30;2012-12-08 13:10:30;?
clin201004cf04;Calexico;Crystal Frontier;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;411;?;Free Music Archive;Calexico;3;2;04;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;3;2012-12-08 13:14:12;2013-01-19 13:09:12;2012-12-08 13:14:12, 2013-01-08 23:17:33, 2013-01-19 13:09:12;?
clin201058ts05;Calexico;Two Silver Trees;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;283;?;Free Music Archive;Calexico;3;2;05;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;2;2012-12-08 13:21:03;2013-01-19 13:16:03;2012-12-08 13:21:03, 2013-01-19 13:16:03;?
clin201078rb06;Calexico;Red Blooms;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;331;?;Free Music Archive;Calexico;3;1;06;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;2;2012-12-08 13:25:46;2013-01-19 13:20:46;2012-12-08 13:25:46, 2013-01-19 13:20:46;?
clin201077vj07;Calexico;Victor Jara's Hands;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;288;?;Free Music Archive;Calexico;3;2;07;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;2;2012-12-08 13:31:17;2013-01-19 13:26:40;2012-12-08 13:31:17, 2013-01-19 13:26:40;?
clin201049mm08;Calexico;Man Made Lake;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;243;?;Free Music Archive;Calexico;2;2;08;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;2;2012-12-08 13:36:05;2013-01-19 13:31:28;2012-12-08 13:36:05, 2013-01-19 13:31:28;?
clin201048fa09;Calexico;Fractured Air;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;331;?;Free Music Archive;Calexico;3;2;09;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;2;2012-12-08 14:42:21;2013-01-19 13:35:32;2012-12-08 14:42:21, 2013-01-19 13:35:32;?
clin201056as10;Calexico;All Systems Red;Live in Nuremberg 2009;2010;World;Folk, Post Rock, Live;410;?;Free Music Archive;Calexico;3;2;10;10;1;1;http://archive.org/details/Live_in_Nuremberg_2009-7011;3;2012-12-08 14:47:52;2013-01-19 13:48:13;2012-12-08 14:47:52, 2013-01-19 13:36:26, 2013-01-19 13:48:13;?
ckcf21102a01;Camo & Krooked;Alienation;Christmas Freepack 2011;2011;Electronic;Dubstep;312;?;?;Camo & Krooked;3;3;01;05;1;1;http://archive.org/details/CamoKrooked-FreeXmasEp2011freeDownloads;1;2012-06-03 15:07:19;2012-06-03 15:07:19;2012-06-03 15:07:19;?
ckcf21175c02;Camo & Krooked;Chronicles;Christmas Freepack 2011;2011;Electronic;Dubstep;239;?;?;Camo & Krooked;4;3;02;05;1;1;http://archive.org/details/CamoKrooked-FreeXmasEp2011freeDownloads;4;2012-06-03 15:12:11;2012-07-21 14:58:32;2012-06-03 15:12:11, 2012-07-20 22:38:21, 2012-07-21 02:27:08, 2012-07-21 14:58:32;?
ckcf21151rf03;Camo & Krooked;Ready For This;Christmas Freepack 2011;2011;Electronic;Dubstep;294;?;?;Camo & Krooked;4;3;03;05;1;1;http://archive.org/details/CamoKrooked-FreeXmasEp2011freeDownloads;2;2012-06-03 15:16:10;2012-06-03 15:24:58;2012-06-03 15:16:10, 2012-06-03 15:24:58;?
ckcf21180t04;Camo & Krooked;Tripodz;Christmas Freepack 2011;2011;Electronic;Dubstep;295;?;?;Camo & Krooked;2;3;04;05;1;1;http://archive.org/details/CamoKrooked-FreeXmasEp2011freeDownloads;2;2012-05-27 11:14:26;2012-06-03 15:21:03;2012-05-27 11:14:26, 2012-06-03 15:21:03;?
ckcf21198ti05;Camo & Krooked, Shaz Sparks;Time Is Ticking Away (Chrome Remix);Christmas Freepack 2011;2011;Electronic;Dubstep;426;?;?;Camo & Krooked;3;2;05;05;1;1;http://archive.org/details/CamoKrooked-FreeXmasEp2011freeDownloads;1;2012-06-03 15:27:56;2012-06-03 15:27:56;2012-06-03 15:27:56;?
cmfcc1049ww01;Candlegravity;When We Were Young;Music for Coffee & Cupcakes;2010;Classical;Instrumental;205;?;?;Candlegravity;3;2;01;03;1;1;http://archive.org/details/MusicForCoffeeCupcakes;3;2012-12-16 12:09:57;2013-02-21 21:21:33;2012-12-16 12:09:57, 2013-01-05 23:59:13, 2013-02-21 21:21:33;?
